Date,Open,Close
2022-02-04,60.959599,60.959599
2022-02-07,60.000000,61.770000
2022-02-08,62.000000,62.279999
2022-02-09,62.500000,62.770000
2022-02-10,63.000000,62.799999
2022-02-11,62.980000,62.360001
2022-02-14,62.400002,64.089996
2022-02-15,64.199997,63.189999
2022-02-16,63.299999,63.240002
2022-02-17,64.000000,63.869999
2022-02-18,64.000000,63.790001
2022-02-21,63.990002,63.419998
2022-02-22,63.500000,64.290001
2022-02-23,64.290001,64.080002
2022-02-24,64.150002,66.980003
2022-02-25,66.980003,64.680000
2022-02-28,65.000000,64.849998
2022-03-02,66.599998,67.089996
2022-03-03,67.300003,67.480003
2022-03-04,67.599998,67.519997
2022-03-07,67.599998,70.370003
2022-03-08,71.199997,70.559998
2022-03-09,71.580002,70.650002
2022-03-10,68.500000,68.500000
2022-03-11,68.699997,69.470001
2022-03-14,69.989998,68.489998
2022-03-15,68.000000,66.959999
2022-03-16,66.959999,67.139999
2022-03-17,68.250000,67.550003
2022-03-21,67.750000,67.349998
2022-03-22,67.800003,67.470001
2022-03-23,67.300003,67.339996
2022-03-24,67.800003,67.519997
2022-03-25,67.800003,68.599998
2022-03-28,67.000000,67.349998
2022-03-29,67.500000,66.389999
2022-03-30,66.660004,66.650002
2022-03-31,66.650002,66.300003
2022-04-01,66.599998,66.720001
2022-04-04,66.980003,66.540001
2022-04-05,66.500000,66.150002
2022-04-06,66.000000,65.980003
2022-04-07,66.250000,66.040001
2022-04-08,66.379997,66.480003
2022-04-11,66.690002,67.349998
2022-04-12,68.000000,67.400002
2022-04-13,67.800003,69.000000
2022-04-18,68.309998,69.620003
2022-04-19,69.879997,69.599998
2022-04-20,69.180000,68.059998
2022-04-21,68.199997,67.459999
2022-04-22,67.830002,66.330002
2022-04-25,66.330002,65.309998
2022-04-26,65.599998,65.419998
2022-04-27,65.599998,64.980003
2022-04-28,64.980003,64.250000
2022-04-29,64.400002,64.570000
2022-05-02,64.449997,62.830002
2022-05-04,62.500000,62.630001
2022-05-05,62.700001,63.349998
2022-05-06,63.340000,62.490002
2022-05-09,64.010002,61.980000
2022-05-10,62.290001,61.639999
2022-05-11,61.500000,61.360001
2022-05-12,61.360001,59.990002
2022-05-13,59.990002,59.139999
2022-05-16,59.500000,59.980000
2022-05-17,60.400002,61.380001
2022-05-18,61.380001,61.180000
2022-05-19,61.299999,60.580002
2022-05-20,61.990002,61.900002
2022-05-23,63.400002,62.020000
2022-05-24,61.450001,61.360001
2022-05-25,61.720001,61.439999
2022-05-26,61.200001,61.119999
2022-05-27,61.400002,62.209999
2022-05-30,62.189999,61.790001
2022-05-31,61.740002,61.330002
2022-06-01,64.800003,60.419998
2022-06-02,64.800003,61.610001
2022-06-03,61.990002,62.130001
2022-06-06,62.200001,62.180000
2022-06-07,62.000000,61.599998
2022-06-08,61.660000,61.709999
2022-06-09,61.720001,61.560001
2022-06-10,60.990002,60.570000
2022-06-13,61.380001,60.689999
2022-06-14,64.800003,59.770000
2022-06-15,60.000000,60.459999
2022-06-16,61.240002,60.709999
2022-06-17,60.500000,61.320000
2022-06-20,61.099998,60.849998
2022-06-21,61.150002,60.910000
2022-06-22,60.009998,60.290001
2022-06-23,60.240002,60.049999
2022-06-24,60.049999,59.330002
2022-06-27,59.599998,60.580002
2022-06-28,60.299999,60.360001
2022-06-29,59.880001,59.299999
2022-06-30,59.310001,58.970001
2022-07-01,59.000000,57.970001
2022-07-04,58.900002,58.009998
2022-07-05,58.200001,58.259998
2022-07-06,64.500000,57.349998
2022-07-07,57.450001,57.270000
2022-07-08,57.900002,56.689999
2022-07-11,56.500000,56.799999
2022-07-12,57.799999,56.180000
2022-07-13,57.000000,56.279999
2022-07-14,56.700001,56.020000
2022-07-15,55.750000,54.680000
2022-07-18,55.900002,55.910000
2022-07-19,55.200001,55.580002
2022-07-20,56.980000,55.610001
2022-07-21,55.250000,54.389999
2022-07-22,55.110001,55.169998
2022-07-25,54.990002,54.849998
2022-07-26,54.450001,54.290001
2022-07-27,54.290001,54.650002
2022-07-28,55.250000,56.049999
2022-07-29,56.200001,57.400002
2022-08-01,57.599998,57.950001
2022-08-02,57.700001,57.490002
2022-08-03,57.049999,56.889999
2022-08-04,57.000000,57.830002
2022-08-05,57.900002,57.369999
2022-08-08,57.099998,57.689999
2022-08-10,57.799999,58.360001
2022-08-11,58.200001,58.480000
2022-08-12,58.500000,58.119999
2022-08-16,58.099998,57.669998
2022-08-17,57.799999,57.360001
2022-08-18,57.110001,56.910000
2022-08-19,56.500000,55.669998
2022-08-22,55.400002,54.910000
2022-08-23,54.990002,55.119999
2022-08-24,55.450001,55.299999
2022-08-25,55.500000,55.830002
2022-08-26,55.750000,55.560001
2022-08-29,55.560001,54.369999
2022-08-30,59.799999,54.360001
2022-09-01,54.000000,52.270000
2022-09-02,52.599998,52.740002
2022-09-05,53.000000,53.419998
2022-09-06,53.790001,53.660000
2022-09-07,53.259998,53.259998
2022-09-08,53.590000,54.000000
2022-09-09,54.500000,54.549999
2022-09-12,54.689999,55.529999
2022-09-13,55.669998,56.740002
2022-09-14,55.889999,56.189999
2022-09-15,56.400002,56.220001
2022-09-16,55.740002,54.980000
2022-09-19,55.500000,55.910000
2022-09-20,56.200001,55.980000
2022-09-21,55.990002,56.389999
2022-09-22,56.389999,57.139999
2022-09-23,57.349998,56.540001
2022-09-26,53.000000,55.259998
2022-09-27,54.939999,55.040001
2022-09-28,54.900002,54.020000
