Date,Open
2022-02-04,60.959599
2022-02-07,60.000000
2022-02-08,62.000000
2022-02-09,62.500000
2022-02-10,63.000000
2022-02-11,62.980000
2022-02-14,62.400002
2022-02-15,64.199997
2022-02-16,63.299999
2022-02-17,64.000000
2022-02-18,64.000000
2022-02-21,63.990002
2022-02-22,63.500000
2022-02-23,64.290001
2022-02-24,64.150002
2022-02-25,66.980003
2022-02-28,65.000000
2022-03-02,66.599998
2022-03-03,67.300003
2022-03-04,67.599998
2022-03-07,67.599998
2022-03-08,71.199997
2022-03-09,71.580002
2022-03-10,68.500000
2022-03-11,68.699997
2022-03-14,69.989998
2022-03-15,68.000000
2022-03-16,66.959999
2022-03-17,68.250000
2022-03-21,67.750000
2022-03-22,67.800003
2022-03-23,67.300003
2022-03-24,67.800003
2022-03-25,67.800003
2022-03-28,67.000000
2022-03-29,67.500000
2022-03-30,66.660004
2022-03-31,66.650002
2022-04-01,66.599998
2022-04-04,66.980003
2022-04-05,66.500000
2022-04-06,66.000000
2022-04-07,66.250000
2022-04-08,66.379997
2022-04-11,66.690002
2022-04-12,68.000000
2022-04-13,67.800003
2022-04-18,68.309998
2022-04-19,69.879997
2022-04-20,69.180000
2022-04-21,68.199997
2022-04-22,67.830002
2022-04-25,66.330002
2022-04-26,65.599998
2022-04-27,65.599998
2022-04-28,64.980003
2022-04-29,64.400002
2022-05-02,64.449997
2022-05-04,62.500000
2022-05-05,62.700001
2022-05-06,63.340000
2022-05-09,64.010002
2022-05-10,62.290001
2022-05-11,61.500000
2022-05-12,61.360001
2022-05-13,59.990002
2022-05-16,59.500000
2022-05-17,60.400002
2022-05-18,61.380001
2022-05-19,61.299999
2022-05-20,61.990002
2022-05-23,63.400002
2022-05-24,61.450001
2022-05-25,61.720001
2022-05-26,61.200001
2022-05-27,61.400002
2022-05-30,62.189999
2022-05-31,61.740002
2022-06-01,64.800003
2022-06-02,64.800003
2022-06-03,61.990002
2022-06-06,62.200001
2022-06-07,62.000000
2022-06-08,61.660000
2022-06-09,61.720001
2022-06-10,60.990002
2022-06-13,61.380001
2022-06-14,64.800003
2022-06-15,60.000000
2022-06-16,61.240002
2022-06-17,60.500000
2022-06-20,61.099998
2022-06-21,61.150002
2022-06-22,60.009998
2022-06-23,60.240002
2022-06-24,60.049999
2022-06-27,59.599998
2022-06-28,60.299999
2022-06-29,59.880001
2022-06-30,59.310001
2022-07-01,59.000000
2022-07-04,58.900002
2022-07-05,58.200001
2022-07-06,64.500000
2022-07-07,57.450001
2022-07-08,57.900002
2022-07-11,56.500000
2022-07-12,57.799999
2022-07-13,57.000000
2022-07-14,56.700001
2022-07-15,55.750000
2022-07-18,55.900002
2022-07-19,55.200001
2022-07-20,56.980000
2022-07-21,55.250000
2022-07-22,55.110001
2022-07-25,54.990002
