Date,Close
2022-02-04,60.959599
2022-02-07,61.770000
2022-02-08,62.279999
2022-02-09,62.770000
2022-02-10,62.799999
2022-02-11,62.360001
2022-02-14,64.089996
2022-02-15,63.189999
2022-02-16,63.240002
2022-02-17,63.869999
2022-02-18,63.790001
2022-02-21,63.419998
2022-02-22,64.290001
2022-02-23,64.080002
2022-02-24,66.980003
2022-02-25,64.680000
2022-02-28,64.849998
2022-03-02,67.089996
2022-03-03,67.480003
2022-03-04,67.519997
2022-03-07,70.370003
2022-03-08,70.559998
2022-03-09,70.650002
2022-03-10,68.500000
2022-03-11,69.470001
2022-03-14,68.489998
2022-03-15,66.959999
2022-03-16,67.139999
2022-03-17,67.550003
2022-03-21,67.349998
2022-03-22,67.470001
2022-03-23,67.339996
2022-03-24,67.519997
2022-03-25,68.599998
2022-03-28,67.349998
2022-03-29,66.389999
2022-03-30,66.650002
2022-03-31,66.300003
2022-04-01,66.720001
2022-04-04,66.540001
2022-04-05,66.150002
2022-04-06,65.980003
2022-04-07,66.040001
2022-04-08,66.480003
2022-04-11,67.349998
2022-04-12,67.400002
2022-04-13,69.000000
2022-04-18,69.620003
2022-04-19,69.599998
2022-04-20,68.059998
2022-04-21,67.459999
2022-04-22,66.330002
2022-04-25,65.309998
2022-04-26,65.419998
2022-04-27,64.980003
2022-04-28,64.250000
2022-04-29,64.570000
2022-05-02,62.830002
2022-05-04,62.630001
2022-05-05,63.349998
2022-05-06,62.490002
2022-05-09,61.980000
2022-05-10,61.639999
2022-05-11,61.360001
2022-05-12,59.990002
2022-05-13,59.139999
2022-05-16,59.980000
2022-05-17,61.380001
2022-05-18,61.180000
2022-05-19,60.580002
2022-05-20,61.900002
2022-05-23,62.020000
2022-05-24,61.360001
2022-05-25,61.439999
2022-05-26,61.119999
2022-05-27,62.209999
2022-05-30,61.790001
2022-05-31,61.330002
2022-06-01,60.419998
2022-06-02,61.610001
2022-06-03,62.130001
2022-06-06,62.180000
2022-06-07,61.599998
2022-06-08,61.709999
2022-06-09,61.560001
2022-06-10,60.570000
2022-06-13,60.689999
2022-06-14,59.770000
2022-06-15,60.459999
2022-06-16,60.709999
2022-06-17,61.320000
2022-06-20,60.849998
2022-06-21,60.910000
2022-06-22,60.290001
2022-06-23,60.049999
2022-06-24,59.330002
2022-06-27,60.580002
2022-06-28,60.360001
2022-06-29,59.299999
2022-06-30,58.970001
2022-07-01,57.970001
2022-07-04,58.009998
2022-07-05,58.259998
2022-07-06,57.349998
2022-07-07,57.270000
2022-07-08,56.689999
2022-07-11,56.799999
2022-07-12,56.180000
2022-07-13,56.279999
2022-07-14,56.020000
2022-07-15,54.680000
2022-07-18,55.910000
2022-07-19,55.580002
2022-07-20,55.610001
2022-07-21,54.389999
2022-07-22,55.169998
2022-07-25,54.849998
2022-07-26,54.290001
2022-07-27,54.650002
2022-07-28,56.049999
2022-07-29,57.400002
2022-08-01,57.950001
2022-08-02,57.490002
2022-08-03,56.889999
2022-08-04,57.830002
2022-08-05,57.369999
2022-08-08,57.689999
2022-08-10,58.360001
2022-08-11,58.480000
2022-08-12,58.119999
2022-08-16,57.669998
2022-08-17,57.360001
2022-08-18,56.910000
2022-08-19,55.669998
2022-08-22,54.910000
2022-08-23,55.119999
2022-08-24,55.299999
2022-08-25,55.830002
2022-08-26,55.560001
2022-08-29,54.369999
2022-08-30,54.360001
2022-09-01,52.270000
2022-09-02,52.740002
2022-09-05,53.419998
2022-09-06,53.660000
2022-09-07,53.259998
2022-09-08,54.000000
2022-09-09,54.549999
2022-09-12,55.529999
2022-09-13,56.740002
2022-09-14,56.189999
2022-09-15,56.220001
2022-09-16,54.980000
2022-09-19,55.910000
2022-09-20,55.980000
2022-09-21,56.389999
2022-09-22,57.139999
2022-09-23,56.540001
2022-09-26,55.259998
2022-09-27,55.040001
2022-09-28,54.020000
2022-09-29,55.430000
2022-09-30,56.119999
2022-10-03,56.880001
2022-10-04,60.220001
2022-10-06,59.830002
2022-10-07,60.490002
2022-10-10,58.250000
2022-10-11,57.220001
2022-10-12,57.150002
2022-10-13,56.880001
2022-10-14,55.820000
2022-10-17,55.520000
2022-10-18,55.860001
2022-10-19,55.709999
2022-10-20,55.810001
2022-10-21,55.349998
2022-10-24,56.930000
2022-10-25,56.520000
2022-10-27,57.369999
2022-10-28,57.209999
2022-10-31,57.110001
2022-11-01,58.419998
2022-11-02,58.369999
2022-11-03,56.980000
2022-11-04,58.320000
2022-11-07,59.970001
2022-11-09,60.730000
2022-11-10,60.560001
2022-11-11,61.580002
2022-11-14,61.150002
2022-11-15,61.779999
2022-11-16,61.560001
2022-11-17,60.580002
2022-11-18,60.820000
2022-11-21,59.930000
2022-11-22,60.810001
2022-11-23,60.770000
2022-11-24,61.459999
2022-11-25,61.090000
2022-11-28,61.439999
2022-11-29,61.209999
2022-11-30,61.320000
2022-12-01,62.529999
2022-12-02,63.759998
2022-12-05,65.110001
2022-12-06,64.120003
2022-12-07,63.830002
2022-12-08,64.559998
2022-12-09,65.279999
2022-12-12,66.110001
2022-12-13,66.089996
2022-12-14,66.680000
2022-12-15,65.570000
2022-12-16,64.910004
2022-12-19,66.120003
2022-12-20,67.010002
2022-12-21,67.389999
2022-12-22,66.919998
2022-12-23,66.760002
2022-12-26,66.720001
2022-12-27,67.970001
2022-12-28,66.959999
2022-12-29,66.959999
2022-12-30,67.230003
2023-01-02,67.669998
2023-01-03,68.669998
2023-01-04,68.730003
2023-01-05,66.919998
2023-01-06,66.879997
2023-01-09,67.949997
2023-01-10,67.080002
2023-01-11,67.540001
2023-01-12,67.150002
2023-01-13,67.180000
2023-01-16,68.260002
2023-01-17,68.050003
2023-01-18,68.199997
2023-01-19,66.739998
2023-01-20,67.589996
2023-01-23,67.519997
2023-01-24,67.309998
2023-01-25,67.250000
2023-01-27,67.470001
2023-01-30,67.449997
